,t-3,t-2,t-1
0,437.92999267578125,440.5799865722656,438.7799987792969
1,440.5799865722656,438.7799987792969,430.20001220703125
2,438.7799987792969,430.20001220703125,430.2099914550781
3,430.20001220703125,430.2099914550781,425.3800048828125
4,430.2099914550781,425.3800048828125,427.67999267578125
5,425.3800048828125,427.67999267578125,433.55999755859375
6,427.67999267578125,433.55999755859375,434.0899963378906
7,433.55999755859375,434.0899963378906,423.95001220703125
8,434.0899963378906,423.95001220703125,422.6199951171875
9,423.95001220703125,422.6199951171875,421.1700134277344
10,422.6199951171875,421.1700134277344,417.1700134277344
11,421.1700134277344,417.1700134277344,409.7099914550781
12,417.1700134277344,409.7099914550781,397.260009765625
13,409.7099914550781,397.260009765625,398.1700134277344
14,397.260009765625,398.1700134277344,405.6600036621094
15,398.1700134277344,405.6600036621094,402.92999267578125
16,405.6600036621094,402.92999267578125,397.82000732421875
17,402.92999267578125,397.82000732421875,405.6700134277344
18,397.82000732421875,405.6700134277344,414.3399963378906
19,405.6700134277344,414.3399963378906,418.9800109863281
20,414.3399963378906,418.9800109863281,414.5899963378906
21,418.9800109863281,414.5899963378906,410.3399963378906
22,414.5899963378906,410.3399963378906,413.2300109863281
23,410.3399963378906,413.2300109863281,410.7200012207031
24,413.2300109863281,410.7200012207031,418.54998779296875
25,410.7200012207031,418.54998779296875,414.92999267578125
26,418.54998779296875,414.92999267578125,413.1499938964844
27,414.92999267578125,413.1499938964844,404.42999267578125
28,413.1499938964844,404.42999267578125,408.17999267578125
29,404.42999267578125,408.17999267578125,408.20001220703125
30,408.17999267578125,408.20001220703125,407.489990234375
31,408.20001220703125,407.489990234375,402.1499938964844
32,407.489990234375,402.1499938964844,397.04998779296875
33,402.1499938964844,397.04998779296875,397.739990234375
34,397.04998779296875,397.739990234375,377.760009765625
35,397.739990234375,377.760009765625,394.95001220703125
36,377.760009765625,394.95001220703125,397.17999267578125
37,394.95001220703125,397.17999267578125,400.010009765625
38,397.17999267578125,400.010009765625,397.7200012207031
39,400.010009765625,397.7200012207031,405.0199890136719
40,397.7200012207031,405.0199890136719,396.92999267578125
41,405.0199890136719,396.92999267578125,396.7300109863281
42,396.92999267578125,396.7300109863281,385.760009765625
43,396.7300109863281,385.760009765625,390.8800048828125
44,385.760009765625,390.8800048828125,388.44000244140625
45,390.8800048828125,388.44000244140625,393.6199951171875
46,388.44000244140625,393.6199951171875,387.07000732421875
47,393.6199951171875,387.07000732421875,385.8599853515625
48,387.07000732421875,385.8599853515625,395.5
49,385.8599853515625,395.5,398.6400146484375
50,395.5,398.6400146484375,403.9800109863281
51,398.6400146484375,403.9800109863281,409.8399963378906
52,403.9800109863281,409.8399963378906,411.20001220703125
53,409.8399963378906,411.20001220703125,412.1600036621094
54,411.20001220703125,412.1600036621094,409.8900146484375
55,412.1600036621094,409.8900146484375,414.7900085449219
56,409.8900146484375,414.7900085449219,415.5
57,414.7900085449219,415.5,422.9599914550781
58,415.5,422.9599914550781,423.260009765625
59,422.9599914550781,423.260009765625,420.9700012207031
60,423.260009765625,420.9700012207031,416.67999267578125
61,420.9700012207031,416.67999267578125,416.45001220703125
62,416.67999267578125,416.45001220703125,418.55999755859375
63,416.45001220703125,418.55999755859375,410.760009765625
64,418.55999755859375,410.760009765625,409.6000061035156
65,410.760009765625,409.6000061035156,411.8500061035156
66,409.6000061035156,411.8500061035156,408.5
67,411.8500061035156,408.5,407.3299865722656
68,408.5,407.3299865722656,402.57000732421875
69,407.3299865722656,402.57000732421875,407.7200012207031
70,402.57000732421875,407.7200012207031,401.54998779296875
71,407.7200012207031,401.54998779296875,402.5799865722656
72,401.54998779296875,402.5799865722656,410.82000732421875
73,402.5799865722656,410.82000732421875,412.3800048828125
74,410.82000732421875,412.3800048828125,401.6700134277344
75,412.3800048828125,401.6700134277344,389.4200134277344
76,401.6700134277344,389.4200134277344,391.3999938964844
77,389.4200134277344,391.3999938964844,383.5
78,391.3999938964844,383.5,388.2300109863281
79,383.5,388.2300109863281,389.4200134277344
80,388.2300109863281,389.4200134277344,378.7900085449219
81,389.4200134277344,378.7900085449219,381.6199951171875
82,378.7900085449219,381.6199951171875,383.3500061035156
83,381.6199951171875,383.3500061035156,390.2200012207031
84,383.3500061035156,390.2200012207031,378.010009765625
85,390.2200012207031,378.010009765625,372.3599853515625
86,378.010009765625,372.3599853515625,371.8999938964844
87,372.3599853515625,371.8999938964844,365.9700012207031
88,371.8999938964844,365.9700012207031,357.8399963378906
89,365.9700012207031,357.8399963378906,364.7300109863281
90,357.8399963378906,364.7300109863281,367.7099914550781
91,364.7300109863281,367.7099914550781,373.6600036621094
92,367.7099914550781,373.6600036621094,370.9800109863281
93,373.6600036621094,370.9800109863281,357.1700134277344
94,370.9800109863281,357.1700134277344,361.4100036621094
95,357.1700134277344,361.4100036621094,361.0899963378906
